Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
2004,Belgium,056,Output,14,14,Output (valuation not defined),13,Mining of metal ores,13A,7.9209997559E8,M,9.8529456289E8,
2004,Belgium,056,Output,14,14,Output (valuation not defined),15,Food and beverages,15,2.83385E10,M,3.525031035349E10,
2004,Belgium,056,Output,14,14,Output (valuation not defined),16,Tobacco products,16,1.54859997559E9,M,1.92630625308E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),17,Textiles,17,6.25039990234E9,M,7.77488351151E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),18,"Wearing apparel, fur",18,1.01920001221E9,M,1.26778470076E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),19,"Leather, leather products and footwear",19,3.5779998779E8,M,4.4506803868E8,
2004,Belgium,056,Output,14,14,Output (valuation not defined),20,Wood products (excl. furniture),20,3.28560009766E9,M,4.08696378213E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),21,Paper and paper products,21,4.44220019531E9,M,5.5256606926E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),22,Printing and publishing,22,6.32079980469E9,M,7.86245407476E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),23,"Coke,refined petroleum products,nuclear fuel",23,2.046409960938E10,M,2.545532975758E10,
2004,Belgium,056,Output,14,14,Output (valuation not defined),24,Chemicals and chemical products,24,3.371730078125E10,M,4.194101017418E10,
2004,Belgium,056,Output,14,14,Output (valuation not defined),25,Rubber and plastics products,25,7.0245E9,M,8.73778799436E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),26,Non-metallic mineral products,26,7.3435E9,M,9.13459265949E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),27,Basic metals,27,1.5131E10,M,1.882147770555E10,
2004,Belgium,056,Output,14,14,Output (valuation not defined),28,Fabricated metal products,28,1.021359960938E10,M,1.270471464816E10,
2004,Belgium,056,Output,14,14,Output (valuation not defined),29,Machinery and equipment n.e.c.,29,8.64059960938E9,M,1.074805716148E10,
2004,Belgium,056,Output,14,14,Output (valuation not defined),30,"Office, accounting and computing machinery",30,2.0380000305E8,M,2.5350718484E8,
2004,Belgium,056,Output,14,14,Output (valuation not defined),31,Electrical machinery and apparatus,31,3.40139990234E9,M,4.23100736433E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),32,"Radio,television and communication equipment",32,5.20879980469E9,M,6.47923530478E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),33,"Medical, precision and optical instruments",33,1.44440002441E9,M,1.79669174922E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),34,"Motor vehicles, trailers, semi-trailers",34,1.766640039063E10,M,2.197526674307E10,
2004,Belgium,056,Output,14,14,Output (valuation not defined),35,Other transport equipment,35,1.62569995117E9,M,2.0222110493E9,
2004,Belgium,056,Output,14,14,Output (valuation not defined),36,Furniture; manufacturing n.e.c.,36,4.05280004883E9,M,5.04128516054E9,
